pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.9096,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.8965,2
16,n<=16,sr<=70%,kvB<=2k,kp<=1k,0.9551,1
16,n<=16,sr<=70%,kvB<=2k,kp<=2k,-1.2011,1
16,n<=16,sr<=70%,kvB<=2k,kp<=512,0.9736,1
16,n<=16,sr<=70%,kvB<=2k,kp=0,0.967,1
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.7305,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.7353,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.9359,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.8735,4
16,n<=16,sr>70%,kvB<=2k,kp<=1k,0.9648,2
16,n<=16,sr>70%,kvB<=2k,kp<=2k,0.7111,2
16,n<=16,sr>70%,kvB<=2k,kp<=512,0.941,2
16,n<=16,sr>70%,kvB<=2k,kp=0,0.9572,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.4844,1
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.9975,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9946,2
16,n<=2,sr<=70%,kvB<=2k,kp<=1k,0.9982,1
16,n<=2,sr<=70%,kvB<=2k,kp<=512,0.9947,1
16,n<=2,sr<=70%,kvB<=2k,kp=0,0.9818,1
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,-0.0153,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,-0.028,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.3476,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.4505,9
16,n<=32,sr<=15%,kvB<=2k,kp<=1k,0.3508,3
16,n<=32,sr<=15%,kvB<=2k,kp<=2k,-0.0575,3
16,n<=32,sr<=15%,kvB<=2k,kp<=512,0.441,3
16,n<=32,sr<=15%,kvB<=2k,kp=0,0.4286,4
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,-0.1462,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,-0.2005,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.2907,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.367,2
16,n<=32,sr<=40%,kvB<=2k,kp<=1k,0.2857,1
16,n<=32,sr<=40%,kvB<=2k,kp<=2k,-0.3163,1
16,n<=32,sr<=40%,kvB<=2k,kp<=512,0.3165,1
16,n<=32,sr<=40%,kvB<=2k,kp=0,0.3124,1
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,-0.0024,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,-0.006,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.3441,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.446,2
16,n<=32,sr<=5%,kvB<=2k,kp<=1k,0.3619,1
16,n<=32,sr<=5%,kvB<=2k,kp<=2k,0.0056,1
16,n<=32,sr<=5%,kvB<=2k,kp<=512,0.4744,1
16,n<=32,sr<=5%,kvB<=2k,kp=0,0.4587,1
16,n<=32,sr<=70%,kvB<=1k,kp<=1k,-0.1185,2
16,n<=32,sr<=70%,kvB<=1k,kp<=2k,-0.7862,2
16,n<=32,sr<=70%,kvB<=1k,kp<=512,0.3662,2
16,n<=32,sr<=70%,kvB<=1k,kp=0,0.0335,2
16,n<=32,sr<=70%,kvB<=2k,kp<=1k,0.3457,1
16,n<=32,sr<=70%,kvB<=2k,kp<=2k,-0.1251,1
