pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0276,2
16,n<=128,sr<=40%,kvB<=16k,kp<=20k,0.0014,1
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,0.0212,1
16,n<=128,sr<=40%,kvB<=16k,kp<=512,0.0213,1
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,0.018,1
16,n<=128,sr<=40%,kvB<=16k,kp=0,0.0261,1
16,n<=128,sr<=40%,kvB<=1k,kp<=20k,0.125,1
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.2288,1
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.2237,1
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.17,1
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.231,1
16,n<=128,sr<=40%,kvB<=32k,kp<=20k,0.0126,1
16,n<=128,sr<=40%,kvB<=32k,kp<=2k,0.0169,1
16,n<=128,sr<=40%,kvB<=32k,kp<=512,0.0164,1
16,n<=128,sr<=40%,kvB<=32k,kp<=8k,0.0112,1
16,n<=128,sr<=40%,kvB<=32k,kp=0,0.0126,1
16,n<=128,sr<=40%,kvB<=4k,kp<=20k,0.0424,1
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,0.0348,1
16,n<=128,sr<=40%,kvB<=4k,kp<=512,0.0399,1
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0357,1
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.0401,1
16,n<=128,sr<=5%,kvB<=16k,kp<=20k,-0.0008,4
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.017,4
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0172,4
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0024,4
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0195,4
16,n<=128,sr<=5%,kvB<=1k,kp<=20k,0.0196,4
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0099,4
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0139,4
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.034,4
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.0277,4
16,n<=128,sr<=5%,kvB<=32k,kp<=20k,0.0065,4
16,n<=128,sr<=5%,kvB<=32k,kp<=2k,0.0117,4
16,n<=128,sr<=5%,kvB<=32k,kp<=512,0.0113,4
16,n<=128,sr<=5%,kvB<=32k,kp<=8k,0.0109,4
16,n<=128,sr<=5%,kvB<=32k,kp=0,0.0129,4
16,n<=128,sr<=5%,kvB<=4k,kp<=20k,0.0025,4
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0053,4
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0204,4
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0072,4
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0205,4
16,n<=128,sr<=70%,kvB<=16k,kp<=20k,0.0091,1
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,0.0176,1
16,n<=128,sr<=70%,kvB<=16k,kp<=512,0.0206,1
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,0.0109,1
16,n<=128,sr<=70%,kvB<=16k,kp=0,0.019,1
16,n<=128,sr<=70%,kvB<=1k,kp<=20k,-0.2404,1
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.1875,1
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.2058,1
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.1031,1
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.2038,1
16,n<=128,sr<=70%,kvB<=32k,kp<=20k,0.0025,1
16,n<=128,sr<=70%,kvB<=32k,kp<=2k,0.0048,1
16,n<=128,sr<=70%,kvB<=32k,kp<=512,-0.0008,1
16,n<=128,sr<=70%,kvB<=32k,kp<=8k,-0.0097,1
16,n<=128,sr<=70%,kvB<=32k,kp=0,0.0105,1
16,n<=128,sr<=70%,kvB<=4k,kp<=20k,0.1455,1
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,0.0539,1
16,n<=128,sr<=70%,kvB<=4k,kp<=512,0.0601,1
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.0369,1
16,n<=128,sr<=70%,kvB<=4k,kp=0,0.0693,1
16,n<=128,sr>70%,kvB<=16k,kp<=20k,0.0133,2
16,n<=128,sr>70%,kvB<=16k,kp<=2k,0.0033,2
16,n<=128,sr>70%,kvB<=16k,kp<=512,0.0131,2
16,n<=128,sr>70%,kvB<=16k,kp<=8k,-0.0147,2
16,n<=128,sr>70%,kvB<=16k,kp=0,0.0179,2
16,n<=128,sr>70%,kvB<=1k,kp<=20k,0.415,2
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.2566,2
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.3245,2
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.516,2
16,n<=128,sr>70%,kvB<=1k,kp=0,0.3231,2
16,n<=128,sr>70%,kvB<=32k,kp<=20k,-0.065,2
16,n<=128,sr>70%,kvB<=32k,kp<=2k,-0.0154,2
16,n<=128,sr>70%,kvB<=32k,kp<=512,-0.0167,2
16,n<=128,sr>70%,kvB<=32k,kp<=8k,-0.0348,2
16,n<=128,sr>70%,kvB<=32k,kp=0,-0.0418,2
16,n<=128,sr>70%,kvB<=4k,kp<=20k,0.0764,2
16,n<=128,sr>70%,kvB<=4k,kp<=2k,0.0533,2
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.0737,2
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.0764,2
16,n<=128,sr>70%,kvB<=4k,kp=0,0.0905,2
16,n<=16,sr<=15%,kvB<=16k,kp<=16k,-0.0102,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.2338,4
