regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,8,2,0.25,4.0,16,20480,8192,32768,14336,2941.91,4690.205,4637.086,0.9696
mixed,8,2,0.25,4.0,64,0,128,512,224,83.069,137.566,134.271,0.9395
mixed,8,2,0.25,4.0,64,0,512,2048,896,191.452,355.516,347.547,0.9514
mixed,8,2,0.25,4.0,64,0,2048,8192,3584,569.594,1217.999,1207.983,0.9846
mixed,8,2,0.25,4.0,64,0,8192,32768,14336,2089.605,4686.621,4636.123,0.9806
mixed,8,2,0.25,4.0,64,512,128,512,224,138.686,139.903,137.185,-1.2334
mixed,8,2,0.25,4.0,64,512,512,2048,896,192.157,354.01,350.651,0.9792
mixed,8,2,0.25,4.0,64,512,2048,8192,3584,570.103,1220.334,1200.559,0.9696
mixed,8,2,0.25,4.0,64,512,8192,32768,14336,2096.61,4697.596,4645.816,0.9801
mixed,8,2,0.25,4.0,64,2048,128,512,224,351.323,351.387,349.754,-24.5156
mixed,8,2,0.25,4.0,64,2048,512,2048,896,353.691,359.42,353.499,-0.0335
mixed,8,2,0.25,4.0,64,2048,2048,8192,3584,569.849,1215.214,1209.169,0.9906
mixed,8,2,0.25,4.0,64,2048,8192,32768,14336,2091.394,4690.686,4646.56,0.983
mixed,8,2,0.25,4.0,64,8192,128,512,224,1204.685,1207.729,1203.954,-0.2401
mixed,8,2,0.25,4.0,64,8192,512,2048,896,1208.144,1209.389,1208.367,0.1791
mixed,8,2,0.25,4.0,64,8192,2048,8192,3584,1210.446,1230.862,1215.248,0.2352
mixed,8,2,0.25,4.0,64,8192,8192,32768,14336,2094.05,4689.693,4644.73,0.9827
mixed,8,2,0.25,4.0,64,20480,128,512,224,2913.718,2905.688,2912.055,
mixed,8,2,0.25,4.0,64,20480,512,2048,896,2913.107,2912.055,2908.73,
mixed,8,2,0.25,4.0,64,20480,2048,8192,3584,2913.975,2930.456,2912.566,-0.0855
mixed,8,2,0.25,4.0,64,20480,8192,32768,14336,2947.351,4688.063,4650.014,0.9781
mixed,8,2,0.25,4.0,256,0,128,512,224,99.007,151.709,143.294,0.8403
mixed,8,2,0.25,4.0,256,0,512,2048,896,207.805,376.793,357.34,0.8849
mixed,8,2,0.25,4.0,256,0,2048,8192,3584,602.166,1279.726,1214.737,0.9041
mixed,8,2,0.25,4.0,256,0,8192,32768,14336,2185.473,4842.943,4702.524,0.9472
mixed,8,2,0.25,4.0,256,512,128,512,224,167.068,166.301,165.915,
mixed,8,2,0.25,4.0,256,512,512,2048,896,210.045,376.059,361.627,0.9131
mixed,8,2,0.25,4.0,256,512,2048,8192,3584,597.817,1277.326,1231.178,0.9321
mixed,8,2,0.25,4.0,256,512,8192,32768,14336,2178.466,4863.641,4710.905,0.9431
mixed,8,2,0.25,4.0,256,2048,128,512,224,377.947,378.588,378.49,0.8471
mixed,8,2,0.25,4.0,256,2048,512,2048,896,379.449,389.308,381.5,0.208
mixed,8,2,0.25,4.0,256,2048,2048,8192,3584,603.288,1269.965,1232.687,0.9441
mixed,8,2,0.25,4.0,256,2048,8192,32768,14336,2181.41,4842.27,4318.211,0.803
mixed,8,2,0.25,4.0,256,8192,128,512,224,1228.559,1222.831,1222.992,
mixed,8,2,0.25,4.0,256,8192,512,2048,896,1223.727,1227.056,1225.551,0.5479
mixed,8,2,0.25,4.0,256,8192,2048,8192,3584,1232.75,1304.291,1251.823,0.2666
mixed,8,2,0.25,4.0,256,8192,8192,32768,14336,2182.562,4837.339,4738.011,0.9626
mixed,8,2,0.25,4.0,256,20480,128,512,224,2931.705,2932.533,2928.371,-4.0266
mixed,8,2,0.25,4.0,256,20480,512,2048,896,2933.653,2938.328,2928.15,-1.1771
mixed,8,2,0.25,4.0,256,20480,2048,8192,3584,2935.193,2948.151,2937.27,0.1603
mixed,8,2,0.25,4.0,256,20480,8192,32768,14336,2946.262,4835.518,4691.677,0.9239
mixed,8,2,0.25,4.0,1024,0,128,512,224,307.292,333.787,311.93,0.1751
mixed,8,2,0.25,4.0,1024,0,512,2048,896,378.553,565.368,451.867,0.3924
mixed,8,2,0.25,4.0,1024,0,2048,8192,3584,770.741,1421.994,1342.189,0.8775
mixed,8,2,0.25,4.0,1024,0,8192,32768,14336,2331.23,5036.312,4412.352,0.7693
mixed,8,2,0.25,4.0,1024,512,128,512,224,439.193,475.579,444.922,0.1575
mixed,8,2,0.25,4.0,1024,512,512,2048,896,466.487,658.134,532.409,0.344
mixed,8,2,0.25,4.0,1024,512,2048,8192,3584,894.259,1548.681,1376.813,0.7374
mixed,8,2,0.25,4.0,1024,512,8192,32768,14336,2441.023,5078.329,4886.299,0.9272
mixed,8,2,0.25,4.0,1024,2048,128,512,224,840.436,868.243,829.109,-0.4073
mixed,8,2,0.25,4.0,1024,2048,512,2048,896,854.453,865.716,860.819,0.5652
mixed,8,2,0.25,4.0,1024,2048,2048,8192,3584,1091.089,1910.495,1508.201,0.509
mixed,8,2,0.25,4.0,1024,2048,8192,32768,14336,2735.066,5402.837,5219.286,0.9312
mixed,8,2,0.25,4.0,1024,8192,128,512,224,2346.176,2475.55,2279.168,-0.5179
mixed,8,2,0.25,4.0,1024,8192,512,2048,896,2414.804,2483.042,2402.336,-0.1827
mixed,8,2,0.25,4.0,1024,8192,2048,8192,3584,2519.196,2589.405,2539.93,0.2953
mixed,8,2,0.25,4.0,1024,8192,8192,32768,14336,3904.872,6821.696,5554.449,0.5655
mixed,8,2,0.25,4.0,1024,20480,128,512,224,4954.582,4965.629,4965.591,0.9966
mixed,8,2,0.25,4.0,1024,20480,512,2048,896,5061.364,5218.996,5029.012,-0.2052
mixed,8,2,0.25,4.0,1024,20480,2048,8192,3584,5440.596,5718.637,5682.221,0.869
mixed,8,2,0.25,4.0,1024,20480,8192,32768,14336,5949.008,8640.741,7234.173,0.4774
